source,target,relationship_type,weight,source_label,target_label,entries
74234-0108,74234-0102,grandchild,1,Inês Fagundes,Custódio,74234-0007-02
74234-0109,74234-0102,godchild,1,João Ribeiro,Custódio,74234-0007-02
74234-0110,74234-0116,godparent,1,Afonso,Manuel Caetano Pinto,74234-0007-03
74234-0110,74234-0111,parent,1,Afonso,João Antônio Corrêa,74234-0007-03
74234-0110,74234-0217,parent,1,Afonso,Anna Maria de Jesus,74234-0007-03
74234-0110,74234-0112,grandparent,1,Afonso,Antônio Corrêa Ximenes,74234-0007-03
74234-0110,74234-0113,grandparent,1,Afonso,Francisca Inácia Botelha,74234-0007-03
74234-0110,74234-0114,grandparent,1,Afonso,Manoel Martins Nogueira,74234-0007-03
74234-0110,74234-0115,grandparent,1,Afonso,Rita Margarida,74234-0007-03
74234-0111,74234-0217,spouse,1,João Antônio Corrêa,Anna Maria de Jesus,74234-0007-03
74234-0111,74234-0110,child,1,João Antônio Corrêa,Afonso,74234-0007-03
74234-0111,74234-0112,child,1,João Antônio Corrêa,Antônio Corrêa Ximenes,74234-0007-03
74234-0111,74234-0113,child,1,João Antônio Corrêa,Francisca Inácia Botelha,74234-0007-03
74234-0217,74234-0111,spouse,1,Anna Maria de Jesus,João Antônio Corrêa,74234-0007-03
74234-0217,74234-0110,child,1,Anna Maria de Jesus,Afonso,74234-0007-03
74234-0217,74234-0114,child,1,Anna Maria de Jesus,Manoel Martins Nogueira,74234-0007-03
74234-0217,74234-0115,child,1,Anna Maria de Jesus,Rita Margarida,74234-0007-03
74234-0112,74234-0113,spouse,1,Antônio Corrêa Ximenes,Francisca Inácia Botelha,74234-0007-03
74234-0112,74234-0111,parent,1,Antônio Corrêa Ximenes,João Antônio Corrêa,74234-0007-03
74234-0112,74234-0110,grandchild,1,Antônio Corrêa Ximenes,Afonso,74234-0007-03
74234-0113,74234-0112,spouse,1,Francisca Inácia Botelha,Antônio Corrêa Ximenes,74234-0007-03
74234-0113,74234-0111,parent,1,Francisca Inácia Botelha,João Antônio Corrêa,74234-0007-03
74234-0113,74234-0110,grandchild,1,Francisca Inácia Botelha,Afonso,74234-0007-03
74234-0114,74234-0115,spouse,1,Manoel Martins Nogueira,Rita Margarida,74234-0007-03
74234-0114,74234-0217,parent,1,Manoel Martins Nogueira,Anna Maria de Jesus,74234-0007-03
74234-0114,74234-0110,grandchild,1,Manoel Martins Nogueira,Afonso,74234-0007-03
74234-0115,74234-0114,spouse,1,Rita Margarida,Manoel Martins Nogueira,74234-0007-03
74234-0115,74234-0217,parent,1,Rita Margarida,Anna Maria de Jesus,74234-0007-03
74234-0115,74234-0110,grandchild,1,Rita Margarida,Afonso,74234-0007-03
74234-0116,74234-0110,godchild,1,Manuel Caetano Pinto,Afonso,74234-0007-03
74234-0117,74234-0118,parent,1,João,Luísa,74234-0007-04
74234-0117,74234-0119,godparent,1,João,Sebastião,74234-0007-04
74234-0117,74234-0120,godparent,1,João,Thereza,74234-0007-04
74234-0118,74234-0117,child,1,Luísa,João,74234-0007-04
74234-0119,74234-0117,godchild,1,Sebastião,João,74234-0007-04
74234-0120,74234-0117,godchild,1,Thereza,João,74234-0007-04
74234-0122,74234-0123,parent,1,Umbelina,Manoel Antônio,74234-0007-05
74234-0122,74234-0124,parent,1,Umbelina,Maria Custódia,74234-0007-05
74234-0122,74234-0125,grandparent,1,Umbelina,José Afonso,74234-0007-05
74234-0122,74234-0126,grandparent,1,Umbelina,Jozepha Vieira,74234-0007-05
74234-0122,74234-0127,grandparent,1,Umbelina,Antônio Barbosa de Mendonça,74234-0007-05
74234-0122,74234-0128,grandparent,1,Umbelina,José Vieira de Lemos,74234-0007-05
74234-0122,74234-0131,godparent,1,Umbelina,Luiz Barbosa de Mendonça,74234-0007-05
74234-0122,74234-0132,godparent,1,Umbelina,Maria da Motta Barbosa,74234-0007-05
74234-0123,74234-0124,spouse,1,Manoel Antônio,Maria Custódia,74234-0007-05
74234-0123,74234-0122,child,1,Manoel Antônio,Umbelina,74234-0007-05
74234-0123,74234-0125,child,1,Manoel Antônio,José Afonso,74234-0007-05
74234-0123,74234-0126,child,1,Manoel Antônio,Jozepha Vieira,74234-0007-05
74234-0124,74234-0123,spouse,1,Maria Custódia,Manoel Antônio,74234-0007-05
74234-0124,74234-0122,child,1,Maria Custódia,Umbelina,74234-0007-05
